[step37-defaults] serving doors armed ON for the SlidingGatedMoe program (per-flag =0 kills, =1 forces; owner flip 2026-08-27)
[skey] burst sampled=1 pure_temp=0 capturable=1 temp=0.5 top_k=0 top_p=0.9 min_p=0 pen_on=0 k=3 graph_draft=1 graph_s_parked=0 chain_s_parked=1 s_key_parked=Some(SampledGraphKey { seed: 4242, temp_bits: 1056964608, k: 3, top_k: 0, top_p_bits: 1063675494, min_p_bits: 0, pen_on: false })
[skey] chain=graph_chain_s round=0 capturable=1 top_k=0 top_p=0.9 min_p=0 s_key_parked=Some(SampledGraphKey { seed: 4242, temp_bits: 1056964608, k: 3, top_k: 0, top_p_bits: 1063675494, min_p_bits: 0, pen_on: false })
[skey] chain=graph_chain_s round=1 capturable=1 top_k=0 top_p=0.9 min_p=0 s_key_parked=Some(SampledGraphKey { seed: 4242, temp_bits: 1056964608, k: 3, top_k: 0, top_p_bits: 1063675494, min_p_bits: 0, pen_on: false })
[skey] chain=graph_chain_s round=2 capturable=1 top_k=0 top_p=0.9 min_p=0 s_key_parked=Some(SampledGraphKey { seed: 4242, temp_bits: 1056964608, k: 3, top_k: 0, top_p_bits: 1063675494, min_p_bits: 0, pen_on: false })
[skey] chain=graph_chain_s round=3 capturable=1 top_k=0 top_p=0.9 min_p=0 s_key_parked=Some(SampledGraphKey { seed: 4242, temp_bits: 1056964608, k: 3, top_k: 0, top_p_bits: 1063675494, min_p_bits: 0, pen_on: false })
[skey] chain=graph_chain_s round=4 capturable=1 top_k=0 top_p=0.9 min_p=0 s_key_parked=Some(SampledGraphKey { seed: 4242, temp_bits: 1056964608, k: 3, top_k: 0, top_p_bits: 1063675494, min_p_bits: 0, pen_on: false })
[skey] chain=graph_chain_s round=5 capturable=1 top_k=0 top_p=0.9 min_p=0 s_key_parked=Some(SampledGraphKey { seed: 4242, temp_bits: 1056964608, k: 3, top_k: 0, top_p_bits: 1063675494, min_p_bits: 0, pen_on: false })
[skey] chain=graph_chain_s round=6 capturable=1 top_k=0 top_p=0.9 min_p=0 s_key_parked=Some(SampledGraphKey { seed: 4242, temp_bits: 1056964608, k: 3, top_k: 0, top_p_bits: 1063675494, min_p_bits: 0, pen_on: false })
[skey] chain=graph_chain_s round=7 capturable=1 top_k=0 top_p=0.9 min_p=0 s_key_parked=Some(SampledGraphKey { seed: 4242, temp_bits: 1056964608, k: 3, top_k: 0, top_p_bits: 1063675494, min_p_bits: 0, pen_on: false })
[skey] chain=graph_chain_s round=8 capturable=1 top_k=0 top_p=0.9 min_p=0 s_key_parked=Some(SampledGraphKey { seed: 4242, temp_bits: 1056964608, k: 3, top_k: 0, top_p_bits: 1063675494, min_p_bits: 0, pen_on: false })
[skey] chain=graph_chain_s round=9 capturable=1 top_k=0 top_p=0.9 min_p=0 s_key_parked=Some(SampledGraphKey { seed: 4242, temp_bits: 1056964608, k: 3, top_k: 0, top_p_bits: 1063675494, min_p_bits: 0, pen_on: false })
[skey] chain=graph_chain_s round=10 capturable=1 top_k=0 top_p=0.9 min_p=0 s_key_parked=Some(SampledGraphKey { seed: 4242, temp_bits: 1056964608, k: 3, top_k: 0, top_p_bits: 1063675494, min_p_bits: 0, pen_on: false })
[skey] chain=graph_chain_s round=11 capturable=1 top_k=0 top_p=0.9 min_p=0 s_key_parked=Some(SampledGraphKey { seed: 4242, temp_bits: 1056964608, k: 3, top_k: 0, top_p_bits: 1063675494, min_p_bits: 0, pen_on: false })
[skey] chain=graph_chain_s round=12 capturable=1 top_k=0 top_p=0.9 min_p=0 s_key_parked=Some(SampledGraphKey { seed: 4242, temp_bits: 1056964608, k: 3, top_k: 0, top_p_bits: 1063675494, min_p_bits: 0, pen_on: false })
[skey] chain=graph_chain_s round=13 capturable=1 top_k=0 top_p=0.9 min_p=0 s_key_parked=Some(SampledGraphKey { seed: 4242, temp_bits: 1056964608, k: 3, top_k: 0, top_p_bits: 1063675494, min_p_bits: 0, pen_on: false })
[skey] chain=graph_chain_s round=14 capturable=1 top_k=0 top_p=0.9 min_p=0 s_key_parked=Some(SampledGraphKey { seed: 4242, temp_bits: 1056964608, k: 3, top_k: 0, top_p_bits: 1063675494, min_p_bits: 0, pen_on: false })
[skey] chain=graph_chain_s round=15 capturable=1 top_k=0 top_p=0.9 min_p=0 s_key_parked=Some(SampledGraphKey { seed: 4242, temp_bits: 1056964608, k: 3, top_k: 0, top_p_bits: 1063675494, min_p_bits: 0, pen_on: false })
[skey] chain=graph_chain_s round=16 capturable=1 top_k=0 top_p=0.9 min_p=0 s_key_parked=Some(SampledGraphKey { seed: 4242, temp_bits: 1056964608, k: 3, top_k: 0, top_p_bits: 1063675494, min_p_bits: 0, pen_on: false })
[skey] chain=graph_chain_s round=17 capturable=1 top_k=0 top_p=0.9 min_p=0 s_key_parked=Some(SampledGraphKey { seed: 4242, temp_bits: 1056964608, k: 3, top_k: 0, top_p_bits: 1063675494, min_p_bits: 0, pen_on: false })
[skey] chain=graph_chain_s round=18 capturable=1 top_k=0 top_p=0.9 min_p=0 s_key_parked=Some(SampledGraphKey { seed: 4242, temp_bits: 1056964608, k: 3, top_k: 0, top_p_bits: 1063675494, min_p_bits: 0, pen_on: false })
[skey] chain=graph_chain_s round=19 capturable=1 top_k=0 top_p=0.9 min_p=0 s_key_parked=Some(SampledGraphKey { seed: 4242, temp_bits: 1056964608, k: 3, top_k: 0, top_p_bits: 1063675494, min_p_bits: 0, pen_on: false })
[skey] chain=graph_chain_s round=20 capturable=1 top_k=0 top_p=0.9 min_p=0 s_key_parked=Some(SampledGraphKey { seed: 4242, temp_bits: 1056964608, k: 3, top_k: 0, top_p_bits: 1063675494, min_p_bits: 0, pen_on: false })
[skey] chain=graph_chain_s round=21 capturable=1 top_k=0 top_p=0.9 min_p=0 s_key_parked=Some(SampledGraphKey { seed: 4242, temp_bits: 1056964608, k: 3, top_k: 0, top_p_bits: 1063675494, min_p_bits: 0, pen_on: false })
[skey] chain=graph_chain_s round=22 capturable=1 top_k=0 top_p=0.9 min_p=0 s_key_parked=Some(SampledGraphKey { seed: 4242, temp_bits: 1056964608, k: 3, top_k: 0, top_p_bits: 1063675494, min_p_bits: 0, pen_on: false })
[skey] chain=graph_chain_s round=23 capturable=1 top_k=0 top_p=0.9 min_p=0 s_key_parked=Some(SampledGraphKey { seed: 4242, temp_bits: 1056964608, k: 3, top_k: 0, top_p_bits: 1063675494, min_p_bits: 0, pen_on: false })
[skey] chain=graph_chain_s round=24 capturable=1 top_k=0 top_p=0.9 min_p=0 s_key_parked=Some(SampledGraphKey { seed: 4242, temp_bits: 1056964608, k: 3, top_k: 0, top_p_bits: 1063675494, min_p_bits: 0, pen_on: false })
[skey] chain=graph_chain_s round=25 capturable=1 top_k=0 top_p=0.9 min_p=0 s_key_parked=Some(SampledGraphKey { seed: 4242, temp_bits: 1056964608, k: 3, top_k: 0, top_p_bits: 1063675494, min_p_bits: 0, pen_on: false })
[skey] chain=graph_chain_s round=26 capturable=1 top_k=0 top_p=0.9 min_p=0 s_key_parked=Some(SampledGraphKey { seed: 4242, temp_bits: 1056964608, k: 3, top_k: 0, top_p_bits: 1063675494, min_p_bits: 0, pen_on: false })
[skey] chain=graph_chain_s round=27 capturable=1 top_k=0 top_p=0.9 min_p=0 s_key_parked=Some(SampledGraphKey { seed: 4242, temp_bits: 1056964608, k: 3, top_k: 0, top_p_bits: 1063675494, min_p_bits: 0, pen_on: false })
[skey] chain=graph_chain_s round=28 capturable=1 top_k=0 top_p=0.9 min_p=0 s_key_parked=Some(SampledGraphKey { seed: 4242, temp_bits: 1056964608, k: 3, top_k: 0, top_p_bits: 1063675494, min_p_bits: 0, pen_on: false })
[skey] chain=graph_chain_s round=29 capturable=1 top_k=0 top_p=0.9 min_p=0 s_key_parked=Some(SampledGraphKey { seed: 4242, temp_bits: 1056964608, k: 3, top_k: 0, top_p_bits: 1063675494, min_p_bits: 0, pen_on: false })
[skey] chain=graph_chain_s round=30 capturable=1 top_k=0 top_p=0.9 min_p=0 s_key_parked=Some(SampledGraphKey { seed: 4242, temp_bits: 1056964608, k: 3, top_k: 0, top_p_bits: 1063675494, min_p_bits: 0, pen_on: false })
[skey] chain=graph_chain_s round=31 capturable=1 top_k=0 top_p=0.9 min_p=0 s_key_parked=Some(SampledGraphKey { seed: 4242, temp_bits: 1056964608, k: 3, top_k: 0, top_p_bits: 1063675494, min_p_bits: 0, pen_on: false })
[skey] chain=graph_chain_s round=32 capturable=1 top_k=0 top_p=0.9 min_p=0 s_key_parked=Some(SampledGraphKey { seed: 4242, temp_bits: 1056964608, k: 3, top_k: 0, top_p_bits: 1063675494, min_p_bits: 0, pen_on: false })
[skey] chain=graph_chain_s round=33 capturable=1 top_k=0 top_p=0.9 min_p=0 s_key_parked=Some(SampledGraphKey { seed: 4242, temp_bits: 1056964608, k: 3, top_k: 0, top_p_bits: 1063675494, min_p_bits: 0, pen_on: false })
[skey] chain=graph_chain_s round=34 capturable=1 top_k=0 top_p=0.9 min_p=0 s_key_parked=Some(SampledGraphKey { seed: 4242, temp_bits: 1056964608, k: 3, top_k: 0, top_p_bits: 1063675494, min_p_bits: 0, pen_on: false })
[skey] chain=graph_chain_s round=35 capturable=1 top_k=0 top_p=0.9 min_p=0 s_key_parked=Some(SampledGraphKey { seed: 4242, temp_bits: 1056964608, k: 3, top_k: 0, top_p_bits: 1063675494, min_p_bits: 0, pen_on: false })
[skey] chain=graph_chain_s round=36 capturable=1 top_k=0 top_p=0.9 min_p=0 s_key_parked=Some(SampledGraphKey { seed: 4242, temp_bits: 1056964608, k: 3, top_k: 0, top_p_bits: 1063675494, min_p_bits: 0, pen_on: false })
[skey] chain=graph_chain_s round=37 capturable=1 top_k=0 top_p=0.9 min_p=0 s_key_parked=Some(SampledGraphKey { seed: 4242, temp_bits: 1056964608, k: 3, top_k: 0, top_p_bits: 1063675494, min_p_bits: 0, pen_on: false })
[skey] chain=graph_chain_s round=38 capturable=1 top_k=0 top_p=0.9 min_p=0 s_key_parked=Some(SampledGraphKey { seed: 4242, temp_bits: 1056964608, k: 3, top_k: 0, top_p_bits: 1063675494, min_p_bits: 0, pen_on: false })
[skey] chain=graph_chain_s round=39 capturable=1 top_k=0 top_p=0.9 min_p=0 s_key_parked=Some(SampledGraphKey { seed: 4242, temp_bits: 1056964608, k: 3, top_k: 0, top_p_bits: 1063675494, min_p_bits: 0, pen_on: false })
[skey] chain=graph_chain_s round=40 capturable=1 top_k=0 top_p=0.9 min_p=0 s_key_parked=Some(SampledGraphKey { seed: 4242, temp_bits: 1056964608, k: 3, top_k: 0, top_p_bits: 1063675494, min_p_bits: 0, pen_on: false })
[skey] chain=graph_chain_s round=41 capturable=1 top_k=0 top_p=0.9 min_p=0 s_key_parked=Some(SampledGraphKey { seed: 4242, temp_bits: 1056964608, k: 3, top_k: 0, top_p_bits: 1063675494, min_p_bits: 0, pen_on: false })
[skey] chain=graph_chain_s round=42 capturable=1 top_k=0 top_p=0.9 min_p=0 s_key_parked=Some(SampledGraphKey { seed: 4242, temp_bits: 1056964608, k: 3, top_k: 0, top_p_bits: 1063675494, min_p_bits: 0, pen_on: false })
[skey] chain=graph_chain_s round=43 capturable=1 top_k=0 top_p=0.9 min_p=0 s_key_parked=Some(SampledGraphKey { seed: 4242, temp_bits: 1056964608, k: 3, top_k: 0, top_p_bits: 1063675494, min_p_bits: 0, pen_on: false })
[skey] chain=graph_chain_s round=44 capturable=1 top_k=0 top_p=0.9 min_p=0 s_key_parked=Some(SampledGraphKey { seed: 4242, temp_bits: 1056964608, k: 3, top_k: 0, top_p_bits: 1063675494, min_p_bits: 0, pen_on: false })
[skey] chain=graph_chain_s round=45 capturable=1 top_k=0 top_p=0.9 min_p=0 s_key_parked=Some(SampledGraphKey { seed: 4242, temp_bits: 1056964608, k: 3, top_k: 0, top_p_bits: 1063675494, min_p_bits: 0, pen_on: false })
[skey] chain=graph_chain_s round=46 capturable=1 top_k=0 top_p=0.9 min_p=0 s_key_parked=Some(SampledGraphKey { seed: 4242, temp_bits: 1056964608, k: 3, top_k: 0, top_p_bits: 1063675494, min_p_bits: 0, pen_on: false })
[skey] chain=graph_chain_s round=47 capturable=1 top_k=0 top_p=0.9 min_p=0 s_key_parked=Some(SampledGraphKey { seed: 4242, temp_bits: 1056964608, k: 3, top_k: 0, top_p_bits: 1063675494, min_p_bits: 0, pen_on: false })
[skey] chain=graph_chain_s round=48 capturable=1 top_k=0 top_p=0.9 min_p=0 s_key_parked=Some(SampledGraphKey { seed: 4242, temp_bits: 1056964608, k: 3, top_k: 0, top_p_bits: 1063675494, min_p_bits: 0, pen_on: false })
[skey] chain=graph_chain_s round=49 capturable=1 top_k=0 top_p=0.9 min_p=0 s_key_parked=Some(SampledGraphKey { seed: 4242, temp_bits: 1056964608, k: 3, top_k: 0, top_p_bits: 1063675494, min_p_bits: 0, pen_on: false })
[skey] chain=graph_chain_s round=50 capturable=1 top_k=0 top_p=0.9 min_p=0 s_key_parked=Some(SampledGraphKey { seed: 4242, temp_bits: 1056964608, k: 3, top_k: 0, top_p_bits: 1063675494, min_p_bits: 0, pen_on: false })
[skey] chain=graph_chain_s round=51 capturable=1 top_k=0 top_p=0.9 min_p=0 s_key_parked=Some(SampledGraphKey { seed: 4242, temp_bits: 1056964608, k: 3, top_k: 0, top_p_bits: 1063675494, min_p_bits: 0, pen_on: false })
[skey] chain=graph_chain_s round=52 capturable=1 top_k=0 top_p=0.9 min_p=0 s_key_parked=Some(SampledGraphKey { seed: 4242, temp_bits: 1056964608, k: 3, top_k: 0, top_p_bits: 1063675494, min_p_bits: 0, pen_on: false })
[skey] chain=graph_chain_s round=53 capturable=1 top_k=0 top_p=0.9 min_p=0 s_key_parked=Some(SampledGraphKey { seed: 4242, temp_bits: 1056964608, k: 3, top_k: 0, top_p_bits: 1063675494, min_p_bits: 0, pen_on: false })
[skey] chain=graph_chain_s round=54 capturable=1 top_k=0 top_p=0.9 min_p=0 s_key_parked=Some(SampledGraphKey { seed: 4242, temp_bits: 1056964608, k: 3, top_k: 0, top_p_bits: 1063675494, min_p_bits: 0, pen_on: false })
[skey] chain=graph_chain_s round=55 capturable=1 top_k=0 top_p=0.9 min_p=0 s_key_parked=Some(SampledGraphKey { seed: 4242, temp_bits: 1056964608, k: 3, top_k: 0, top_p_bits: 1063675494, min_p_bits: 0, pen_on: false })
[skey] chain=graph_chain_s round=56 capturable=1 top_k=0 top_p=0.9 min_p=0 s_key_parked=Some(SampledGraphKey { seed: 4242, temp_bits: 1056964608, k: 3, top_k: 0, top_p_bits: 1063675494, min_p_bits: 0, pen_on: false })
[skey] chain=graph_chain_s round=57 capturable=1 top_k=0 top_p=0.9 min_p=0 s_key_parked=Some(SampledGraphKey { seed: 4242, temp_bits: 1056964608, k: 3, top_k: 0, top_p_bits: 1063675494, min_p_bits: 0, pen_on: false })

[generate_spec K=3] 160 tok in 1.725s = 92.18 tok/s (0.90x vs generate; this run's prime 0.305s)
  acceptance: 101/174 = 58.0%   self-consistency: PASS (seeded rerun identical)
  sampled tokens: [70935, 436, 14, 2513, 734, 1904, 513, 33581, 17574, 304, 270, 3967, 734, 1605, 7550, 16, 5978, 14, 270, 3967, 734, 2336, 6304, 3557, 4619, 1375, 509, 582, 2581, 1760, 832, 1257, 342, 1531, 24997, 396, 786, 4346, 6179, 34102, 14, 1539, 25293, 1559, 304, 270, 4412, 35062, 19861, 3607, 851, 1438, 11127, 14, 1748, 2755, 39059, 1257, 14, 2513, 734, 96483, 5148, 28, 851, 1438, 10156, 260, 5212, 29606, 377, 1008, 46, 35890, 14, 420, 9422, 14, 63904, 362, 65160, 14, 611, 260, 3530, 8003, 4866, 16, 6583, 786, 6304, 22257, 1375, 509, 582, 2581, 1760, 832, 1257, 342, 1531, 7155, 396, 786, 6304, 6179, 304, 366, 4619, 1375, 14, 1539, 3477, 7723, 2894, 6531, 29311, 418, 786, 3607, 3618, 14, 2918, 851, 4750, 4843, 65160, 39711, 119165, 603, 10318, 14, 2526, 418, 31011, 270, 4619, 14864, 28, 582, 107729, 1277, 782, 6304, 3557, 4619, 1375, 6431, 1715, 51015, 509, 905, 2581, 9, 2136, 2929, 3080, 304, 13480, 1205]
[mtp-chain] heads=3 policy=step-modulo prefix-replay kv=per-head
[gemm-prime] ENGAGED t=613 base=0 seq_end=613 chunks<=4096 (GEMM trunk + grouped MoE)
[mtp-chain-graph] captured mode=sampled heads=3 interior=3 last=3 filtered=1 key=SampledGraphKey { seed: 4242, temp_bits: 1056964608, k: 4, top_k: 0, top_p_bits: 1063675494, min_p_bits: 0, pen_on: false }
[skey] burst sampled=1 pure_temp=0 capturable=1 temp=0.5 top_k=0 top_p=0.9 min_p=0 pen_on=0 k=4 graph_draft=1 graph_s_parked=0 chain_s_parked=1 s_key_parked=Some(SampledGraphKey { seed: 4242, temp_bits: 1056964608, k: 4, top_k: 0, top_p_bits: 1063675494, min_p_bits: 0, pen_on: false })
[skey] chain=graph_chain_s round=0 capturable=1 top_k=0 top_p=0.9 min_p=0 s_key_parked=Some(SampledGraphKey { seed: 4242, temp_bits: 1056964608, k: 4, top_k: 0, top_p_bits: 1063675494, min_p_bits: 0, pen_on: false })
[skey] chain=graph_chain_s round=1 capturable=1 top_k=0 top_p=0.9 min_p=0 s_key_parked=Some(SampledGraphKey { seed: 4242, temp_bits: 1056964608, k: 4, top_k: 0, top_p_bits: 1063675494, min_p_bits: 0, pen_on: false })
[skey] chain=graph_chain_s round=2 capturable=1 top_k=0 top_p=0.9 min_p=0 s_key_parked=Some(SampledGraphKey { seed: 4242, temp_bits: 1056964608, k: 4, top_k: 0, top_p_bits: 1063675494, min_p_bits: 0, pen_on: false })
[skey] chain=graph_chain_s round=3 capturable=1 top_k=0 top_p=0.9 min_p=0 s_key_parked=Some(SampledGraphKey { seed: 4242, temp_bits: 1056964608, k: 4, top_k: 0, top_p_bits: 1063675494, min_p_bits: 0, pen_on: false })
[skey] chain=graph_chain_s round=4 capturable=1 top_k=0 top_p=0.9 min_p=0 s_key_parked=Some(SampledGraphKey { seed: 4242, temp_bits: 1056964608, k: 4, top_k: 0, top_p_bits: 1063675494, min_p_bits: 0, pen_on: false })
[skey] chain=graph_chain_s round=5 capturable=1 top_k=0 top_p=0.9 min_p=0 s_key_parked=Some(SampledGraphKey { seed: 4242, temp_bits: 1056964608, k: 4, top_k: 0, top_p_bits: 1063675494, min_p_bits: 0, pen_on: false })
[skey] chain=graph_chain_s round=6 capturable=1 top_k=0 top_p=0.9 min_p=0 s_key_parked=Some(SampledGraphKey { seed: 4242, temp_bits: 1056964608, k: 4, top_k: 0, top_p_bits: 1063675494, min_p_bits: 0, pen_on: false })
[skey] chain=graph_chain_s round=7 capturable=1 top_k=0 top_p=0.9 min_p=0 s_key_parked=Some(SampledGraphKey { seed: 4242, temp_bits: 1056964608, k: 4, top_k: 0, top_p_bits: 1063675494, min_p_bits: 0, pen_on: false })
[skey] chain=graph_chain_s round=8 capturable=1 top_k=0 top_p=0.9 min_p=0 s_key_parked=Some(SampledGraphKey { seed: 4242, temp_bits: 1056964608, k: 4, top_k: 0, top_p_bits: 1063675494, min_p_bits: 0, pen_on: false })
[skey] chain=graph_chain_s round=9 capturable=1 top_k=0 top_p=0.9 min_p=0 s_key_parked=Some(SampledGraphKey { seed: 4242, temp_bits: 1056964608, k: 4, top_k: 0, top_p_bits: 1063675494, min_p_bits: 0, pen_on: false })
[skey] chain=graph_chain_s round=10 capturable=1 top_k=0 top_p=0.9 min_p=0 s_key_parked=Some(SampledGraphKey { seed: 4242, temp_bits: 1056964608, k: 4, top_k: 0, top_p_bits: 1063675494, min_p_bits: 0, pen_on: false })
[skey] chain=graph_chain_s round=11 capturable=1 top_k=0 top_p=0.9 min_p=0 s_key_parked=Some(SampledGraphKey { seed: 4242, temp_bits: 1056964608, k: 4, top_k: 0, top_p_bits: 1063675494, min_p_bits: 0, pen_on: false })
[skey] chain=graph_chain_s round=12 capturable=1 top_k=0 top_p=0.9 min_p=0 s_key_parked=Some(SampledGraphKey { seed: 4242, temp_bits: 1056964608, k: 4, top_k: 0, top_p_bits: 1063675494, min_p_bits: 0, pen_on: false })
[skey] chain=graph_chain_s round=13 capturable=1 top_k=0 top_p=0.9 min_p=0 s_key_parked=Some(SampledGraphKey { seed: 4242, temp_bits: 1056964608, k: 4, top_k: 0, top_p_bits: 1063675494, min_p_bits: 0, pen_on: false })
[skey] chain=graph_chain_s round=14 capturable=1 top_k=0 top_p=0.9 min_p=0 s_key_parked=Some(SampledGraphKey { seed: 4242, temp_bits: 1056964608, k: 4, top_k: 0, top_p_bits: 1063675494, min_p_bits: 0, pen_on: false })
[skey] chain=graph_chain_s round=15 capturable=1 top_k=0 top_p=0.9 min_p=0 s_key_parked=Some(SampledGraphKey { seed: 4242, temp_bits: 1056964608, k: 4, top_k: 0, top_p_bits: 1063675494, min_p_bits: 0, pen_on: false })
[skey] chain=graph_chain_s round=16 capturable=1 top_k=0 top_p=0.9 min_p=0 s_key_parked=Some(SampledGraphKey { seed: 4242, temp_bits: 1056964608, k: 4, top_k: 0, top_p_bits: 1063675494, min_p_bits: 0, pen_on: false })
[skey] chain=graph_chain_s round=17 capturable=1 top_k=0 top_p=0.9 min_p=0 s_key_parked=Some(SampledGraphKey { seed: 4242, temp_bits: 1056964608, k: 4, top_k: 0, top_p_bits: 1063675494, min_p_bits: 0, pen_on: false })
[skey] chain=graph_chain_s round=18 capturable=1 top_k=0 top_p=0.9 min_p=0 s_key_parked=Some(SampledGraphKey { seed: 4242, temp_bits: 1056964608, k: 4, top_k: 0, top_p_bits: 1063675494, min_p_bits: 0, pen_on: false })
[skey] chain=graph_chain_s round=19 capturable=1 top_k=0 top_p=0.9 min_p=0 s_key_parked=Some(SampledGraphKey { seed: 4242, temp_bits: 1056964608, k: 4, top_k: 0, top_p_bits: 1063675494, min_p_bits: 0, pen_on: false })
[skey] chain=graph_chain_s round=20 capturable=1 top_k=0 top_p=0.9 min_p=0 s_key_parked=Some(SampledGraphKey { seed: 4242, temp_bits: 1056964608, k: 4, top_k: 0, top_p_bits: 1063675494, min_p_bits: 0, pen_on: false })
[skey] chain=graph_chain_s round=21 capturable=1 top_k=0 top_p=0.9 min_p=0 s_key_parked=Some(SampledGraphKey { seed: 4242, temp_bits: 1056964608, k: 4, top_k: 0, top_p_bits: 1063675494, min_p_bits: 0, pen_on: false })
[skey] chain=graph_chain_s round=22 capturable=1 top_k=0 top_p=0.9 min_p=0 s_key_parked=Some(SampledGraphKey { seed: 4242, temp_bits: 1056964608, k: 4, top_k: 0, top_p_bits: 1063675494, min_p_bits: 0, pen_on: false })
[skey] chain=graph_chain_s round=23 capturable=1 top_k=0 top_p=0.9 min_p=0 s_key_parked=Some(SampledGraphKey { seed: 4242, temp_bits: 1056964608, k: 4, top_k: 0, top_p_bits: 1063675494, min_p_bits: 0, pen_on: false })
[skey] chain=graph_chain_s round=24 capturable=1 top_k=0 top_p=0.9 min_p=0 s_key_parked=Some(SampledGraphKey { seed: 4242, temp_bits: 1056964608, k: 4, top_k: 0, top_p_bits: 1063675494, min_p_bits: 0, pen_on: false })
[skey] chain=graph_chain_s round=25 capturable=1 top_k=0 top_p=0.9 min_p=0 s_key_parked=Some(SampledGraphKey { seed: 4242, temp_bits: 1056964608, k: 4, top_k: 0, top_p_bits: 1063675494, min_p_bits: 0, pen_on: false })
[skey] chain=graph_chain_s round=26 capturable=1 top_k=0 top_p=0.9 min_p=0 s_key_parked=Some(SampledGraphKey { seed: 4242, temp_bits: 1056964608, k: 4, top_k: 0, top_p_bits: 1063675494, min_p_bits: 0, pen_on: false })
[skey] chain=graph_chain_s round=27 capturable=1 top_k=0 top_p=0.9 min_p=0 s_key_parked=Some(SampledGraphKey { seed: 4242, temp_bits: 1056964608, k: 4, top_k: 0, top_p_bits: 1063675494, min_p_bits: 0, pen_on: false })
[skey] chain=graph_chain_s round=28 capturable=1 top_k=0 top_p=0.9 min_p=0 s_key_parked=Some(SampledGraphKey { seed: 4242, temp_bits: 1056964608, k: 4, top_k: 0, top_p_bits: 1063675494, min_p_bits: 0, pen_on: false })
[skey] chain=graph_chain_s round=29 capturable=1 top_k=0 top_p=0.9 min_p=0 s_key_parked=Some(SampledGraphKey { seed: 4242, temp_bits: 1056964608, k: 4, top_k: 0, top_p_bits: 1063675494, min_p_bits: 0, pen_on: false })
[skey] chain=graph_chain_s round=30 capturable=1 top_k=0 top_p=0.9 min_p=0 s_key_parked=Some(SampledGraphKey { seed: 4242, temp_bits: 1056964608, k: 4, top_k: 0, top_p_bits: 1063675494, min_p_bits: 0, pen_on: false })
[skey] chain=graph_chain_s round=31 capturable=1 top_k=0 top_p=0.9 min_p=0 s_key_parked=Some(SampledGraphKey { seed: 4242, temp_bits: 1056964608, k: 4, top_k: 0, top_p_bits: 1063675494, min_p_bits: 0, pen_on: false })
[skey] chain=graph_chain_s round=32 capturable=1 top_k=0 top_p=0.9 min_p=0 s_key_parked=Some(SampledGraphKey { seed: 4242, temp_bits: 1056964608, k: 4, top_k: 0, top_p_bits: 1063675494, min_p_bits: 0, pen_on: false })
[skey] chain=graph_chain_s round=33 capturable=1 top_k=0 top_p=0.9 min_p=0 s_key_parked=Some(SampledGraphKey { seed: 4242, temp_bits: 1056964608, k: 4, top_k: 0, top_p_bits: 1063675494, min_p_bits: 0, pen_on: false })
[skey] chain=graph_chain_s round=34 capturable=1 top_k=0 top_p=0.9 min_p=0 s_key_parked=Some(SampledGraphKey { seed: 4242, temp_bits: 1056964608, k: 4, top_k: 0, top_p_bits: 1063675494, min_p_bits: 0, pen_on: false })
[skey] chain=graph_chain_s round=35 capturable=1 top_k=0 top_p=0.9 min_p=0 s_key_parked=Some(SampledGraphKey { seed: 4242, temp_bits: 1056964608, k: 4, top_k: 0, top_p_bits: 1063675494, min_p_bits: 0, pen_on: false })
[skey] chain=graph_chain_s round=36 capturable=1 top_k=0 top_p=0.9 min_p=0 s_key_parked=Some(SampledGraphKey { seed: 4242, temp_bits: 1056964608, k: 4, top_k: 0, top_p_bits: 1063675494, min_p_bits: 0, pen_on: false })
[skey] chain=graph_chain_s round=37 capturable=1 top_k=0 top_p=0.9 min_p=0 s_key_parked=Some(SampledGraphKey { seed: 4242, temp_bits: 1056964608, k: 4, top_k: 0, top_p_bits: 1063675494, min_p_bits: 0, pen_on: false })
[skey] chain=graph_chain_s round=38 capturable=1 top_k=0 top_p=0.9 min_p=0 s_key_parked=Some(SampledGraphKey { seed: 4242, temp_bits: 1056964608, k: 4, top_k: 0, top_p_bits: 1063675494, min_p_bits: 0, pen_on: false })
[skey] chain=graph_chain_s round=39 capturable=1 top_k=0 top_p=0.9 min_p=0 s_key_parked=Some(SampledGraphKey { seed: 4242, temp_bits: 1056964608, k: 4, top_k: 0, top_p_bits: 1063675494, min_p_bits: 0, pen_on: false })
[skey] chain=graph_chain_s round=40 capturable=1 top_k=0 top_p=0.9 min_p=0 s_key_parked=Some(SampledGraphKey { seed: 4242, temp_bits: 1056964608, k: 4, top_k: 0, top_p_bits: 1063675494, min_p_bits: 0, pen_on: false })
[skey] chain=graph_chain_s round=41 capturable=1 top_k=0 top_p=0.9 min_p=0 s_key_parked=Some(SampledGraphKey { seed: 4242, temp_bits: 1056964608, k: 4, top_k: 0, top_p_bits: 1063675494, min_p_bits: 0, pen_on: false })
[skey] chain=graph_chain_s round=42 capturable=1 top_k=0 top_p=0.9 min_p=0 s_key_parked=Some(SampledGraphKey { seed: 4242, temp_bits: 1056964608, k: 4, top_k: 0, top_p_bits: 1063675494, min_p_bits: 0, pen_on: false })
