# qwen4exp_real_gate	label=m11-DIAG-trace	binary_sha256=d744e1ca6b4ebfdaa97fe4709eea3a5f4cfe49b853e2de5265601f8765310a7d	ckpt=/home/ubuntu/data/q48fn-nvfp4	host_bf16_banks=false	indexer_norm_raw=false	mtp_dev1=true	spec_opts=SpecOpts { dynk: None, adapt_k_lo: Some(1), pmin: 0.3, defer: false, defer_guard_sync: false, prefill_chunk: None, wide_ring: None }
# timing lines are UNTUNED EAGER wall clocks under correctness-arm residency — NOT perf claims
# spec-trace k=5 tokens=256: per-round records; carrier_rel_l2[j] = draft seed for chunk row j vs the trunk's TRUE wide row (chain step j+1's input)
prompt	round	gen_pos	base	k_round	a	drafts	targets	d_top1	d_top2	d_tgt_logit	d_tgt_rank	t_top1	t_top2	t_draft_logit	t_entropy	carrier_rel_l2	carrier_cos
1	115	236	240	1	0	198	248045,248045	14.237	12.620	11.436	3	17.053	15.267	15.267	1.0260		
1	116	237	241	1	0	198	248045,248045	14.235	12.850	11.487	3	18.944	16.166	16.166	0.6243		
1	117	238	242	1	0	198	248045,248045	14.419	13.675	12.968	2	17.466	15.089	15.089	0.8569		
1	118	239	243	1	0	198	248045,248045	14.225	12.698	11.973	3	17.796	15.007	15.007	0.6418		
1	119	240	244	1	0	198	248045,248045	14.352	12.882	11.323	3	17.625	15.143	15.143	0.7731		
1	120	241	245	1	0	198	248045,248045	14.381	12.921	12.025	3	17.803	15.352	15.352	0.7438		
1	121	242	246	1	0	198	248045,248045	14.028	12.846	11.255	3	17.721	15.371	15.337	0.8491		
1	122	243	247	1	0	198	248045,248045	14.296	12.858	12.013	3	19.020	15.513	15.513	0.3901		
1	123	244	248	1	0	198	248045,248045	13.748	12.000	11.387	3	17.702	15.427	15.427	0.8096		
1	124	245	249	1	0	198	248045,248045	14.473	12.965	12.177	3	19.132	15.089	14.990	0.2915		
1	125	246	250	1	0	198	248045,248045	14.841	13.885	13.476	2	18.098	15.602	15.602	0.6933		
1	126	247	251	1	0	198	248045,248045	14.193	13.077	11.661	3	18.260	15.314	15.314	0.6191		
1	127	248	252	1	0	198	248045,248045	13.941	12.892	12.601	2	18.320	15.218	15.218	0.6007		
1	128	249	253	1	0	198	248045,248045	14.169	12.996	12.644	2	18.090	15.208	15.175	0.6676		
1	129	250	254	1	0	198	248045,248045	14.149	13.134	12.776	2	18.161	15.110	14.937	0.5736		
1	130	251	255	1	0	198	248045,248045	14.419	13.764	12.635	3	18.233	15.390	15.390	0.6023		
1	131	252	256	1	0	198	248045,248045	14.090	13.417	12.034	3	18.192	15.496	15.496	0.6592		
1	132	253	257	1	0	198	248045,248045	14.113	12.922	12.576	2	17.858	14.792	14.792	0.5789		
1	133	254	258	1	0	198	248045,248045	14.484	13.452	12.852	2	17.911	15.495	15.495	0.7499		
1	134	255	259	1	0	198	248045,248045	14.123	13.474	12.038	3	18.532	15.546	15.546	0.5995		
# prompt 1	first_divergence=-1	accept=0.486	mean_len=1.90	rounds=135	zero_draft=0	guard_stops=3	cross_ms=2.59
2	0	1	6	5	5	307,606,220,15,25	307,606,220,15,25,198	NaN	NaN	NaN	0	NaN	NaN	NaN	0.0000	1.7846,1.9443,1.5985,1.1005	0.36915,0.39247,0.31489,0.26598
2	1	7	12	5	5	260,460,220,15,198	260,460,220,15,198,257	NaN	NaN	NaN	0	NaN	NaN	NaN	0.0000	1.0395,1.6539,1.6308,1.4366	0.44142,0.48020,0.40092,0.33134
2	2	13	18	5	0	4265,307,606,220,16	413,307,606,220,16,25	20.176	19.674	19.674	1	22.043	21.640	21.640	0.8521	0.9402,1.5757,2.4765,1.4734	0.58428,0.30472,0.31826,0.24801
2	3	14	19	1	1	307	307,606	NaN	NaN	NaN	0	NaN	NaN	NaN	0.0000		
2	4	16	21	2	2	220,16	220,16,25	NaN	NaN	NaN	0	NaN	NaN	NaN	0.0000	1.1595	0.39467
2	5	19	24	3	3	198,260,460	198,260,460,220	NaN	NaN	NaN	0	NaN	NaN	NaN	0.0000	1.0147,1.2985	0.37224,0.30124
2	6	23	28	4	4	16,198,257,460	16,198,257,460,15336	NaN	NaN	NaN	0	NaN	NaN	NaN	0.0000	1.2304,1.3492,1.4080	0.33393,0.31836,0.29997
2	7	28	33	5	5	1393,12,16,8,478	1393,12,16,8,478,15336	NaN	NaN	NaN	0	NaN	NaN	NaN	0.0000	1.9952,1.3598,1.4619,1.5668	0.38912,0.31157,0.27240,0.29285
2	8	34	39	5	4	1393,12,17,8,1358	1393,12,17,8,271,727	20.763	20.414	20.414	1	20.129	19.645	19.120	1.1886	1.3505,1.3001,1.2361,1.6223	0.39056,0.29380,0.24940,0.26124
2	9	39	44	5	2	727,15336,1393,1590,198	727,15336,78,1590,198,262	16.946	12.450	8.904	45	18.014	16.444	14.645	2.5927	1.0643,2.0838,2.2105,1.4515	0.62328,0.52119,0.39236,0.37392
2	10	42	47	3	3	1393,1590,198	1393,1590,198,257	NaN	NaN	NaN	0	NaN	NaN	NaN	0.0000	1.8308,2.6027	0.56700,0.36463
2	11	46	51	4	0	338,283,498,15	264,283,498,15,60	16.447	15.188	13.685	3	17.331	16.613	16.613	2.8832	0.7937,2.5161,1.9972	0.70184,0.43867,0.37138
2	12	47	52	1	0	283	11,220	18.439	15.726	15.726	1	20.459	19.910	19.910	1.2183		
2	13	48	53	1	1	292	292,283	NaN	NaN	NaN	0	NaN	NaN	NaN	0.0000		
2	14	50	55	2	2	220,15	220,15,11	NaN	NaN	NaN	0	NaN	NaN	NaN	0.0000	1.5052	0.42318
2	15	53	58	3	3	220,16,198	220,16,198,257	NaN	NaN	NaN	0	NaN	NaN	NaN	0.0000	1.4512,1.2260	0.37100,0.22857
2	16	57	62	4	1	364,585,303,2020	364,696,303,2020,1393	17.958	17.491	17.491	1	20.512	20.210	20.210	1.2421	1.0396,1.7481,1.4364	0.57982,0.38385,0.30239
2	17	59	64	2	2	303,2020	303,2020,1393	NaN	NaN	NaN	0	NaN	NaN	NaN	0.0000	1.1999	0.39828
2	18	62	67	3	3	1590,198,260	1590,198,260,264	NaN	NaN	NaN	0	NaN	NaN	NaN	0.0000	1.2854,1.5107	0.40517,0.28697
2	19	66	71	4	4	11,292,283,292	11,292,283,292,11	NaN	NaN	NaN	0	NaN	NaN	NaN	0.0000	1.4828,1.8181,1.9503	0.34319,0.33802,0.23983
2	20	71	76	5	5	264,478,292,198,257	264,478,292,198,257,460	NaN	NaN	NaN	0	NaN	NaN	NaN	0.0000	1.0881,1.4358,1.5265,1.6843	0.47353,0.34000,0.29827,0.24616
2	21	77	82	5	2	264,271,1302,925,27904	264,271,727,925,564,7	18.911	17.834	17.834	1	18.651	18.453	18.453	2.4051	1.2478,1.5711,2.4561,1.8500	0.41837,0.30725,0.46627,0.38196
2	22	80	85	3	1	15336,1393,1590	15336,78,1590,198	18.812	14.674	14.666	2	16.858	16.254	16.254	3.6635	2.1472,1.6989	0.55264,0.46917
2	23	82	87	2	0	1393,1590	17,1590,198	17.465	15.677	15.677	1	16.968	16.591	16.591	3.6759	1.5944	0.70075
2	24	83	88	1	1	1393	1393,1590	NaN	NaN	NaN	0	NaN	NaN	NaN	0.0000		
2	25	85	90	2	2	198,262	198,262,281	NaN	NaN	NaN	0	NaN	NaN	NaN	0.0000	1.1668	0.42047
2	26	88	93	3	1	283,498,15	283,2958,15,11	18.235	17.393	16.850	2	21.338	19.566	19.566	0.7328	2.5003,2.0839	0.49546,0.43199
2	27	90	95	2	2	198,262	198,262,281	NaN	NaN	NaN	0	NaN	NaN	NaN	0.0000	1.5258	0.35199
2	28	93	98	3	0	283,498,15	1989,498,15,11	17.569	17.548	16.486	2	21.667	16.692	16.692	0.1310	2.0491,1.6185	0.42999,0.33528
2	29	94	99	1	1	7	7,15	NaN	NaN	NaN	0	NaN	NaN	NaN	0.0000		
2	30	96	101	2	2	8,198	8,198,262	NaN	NaN	NaN	0	NaN	NaN	NaN	0.0000	1.4104	0.37386
2	31	99	104	3	3	281,1989,7	281,1989,7,16	NaN	NaN	NaN	0	NaN	NaN	NaN	0.0000	0.9364,1.4838	0.47353,0.29731
2	32	103	108	4	1	8,198,262,364	8,271,262,364,585	21.623	18.859	18.859	1	21.168	20.407	20.407	0.6553	1.2323,1.0401,1.1507	0.19959,0.21199,0.28841
2	33	105	110	2	2	262,364	262,364,585	NaN	NaN	NaN	0	NaN	NaN	NaN	0.0000	1.0835	0.31684
2	34	108	113	3	3	303,2020,7	303,2020,7,17	NaN	NaN	NaN	0	NaN	NaN	NaN	0.0000	1.2402,1.2113	0.35551,0.35701
2	35	112	117	4	2	11,307,1590,198	11,307,10,198,285	19.613	17.149	17.149	1	24.417	21.364	18.528	0.2033	1.2030,1.2037,1.4194	0.42140,0.36040,0.28719
2	36	115	120	3	3	16,1590,198	16,1590,198,285	NaN	NaN	NaN	0	NaN	NaN	NaN	0.0000	1.1254,1.4502	0.36822,0.25882
2	37	119	124	4	3	281,1989,925,7368	281,1989,925,957,16	31.426	30.218	30.218	1	25.988	14.968	13.790	0.0006	0.9356,1.5937,2.5906	0.54647,0.39769,0.36008
2	38	123	128	4	4	12,16,60,478	12,16,60,478,281	NaN	NaN	NaN	0	NaN	NaN	NaN	0.0000	1.5843,1.2666,1.4818	0.46720,0.32899,0.26615
2	39	128	133	5	4	957,12,17,2387,271	957,12,17,2387,198,262	20.324	19.509	19.509	1	25.933	20.884	20.884	0.0416	1.0357,1.6960,1.9492,1.5325	0.43805,0.34576,0.23677,0.20976
2	40	133	138	5	4	262,460,281,7426,12	262,460,281,7426,60,16	24.262	23.293	23.293	1	25.596	21.766	21.766	0.1234	0.8978,1.2014,1.4785,1.4632	0.46129,0.34123,0.30176,0.23898
2	41	138	143	5	1	271,1302,925,27904,1393	271,727,925,564,17,578	18.653	17.139	17.139	1	18.822	17.701	17.701	1.8332	1.2013,1.6034,2.0594,1.7284	0.38349,0.43577,0.39506,0.27459
2	42	140	145	2	0	15336,78	1822,78,18	17.774	15.905	15.905	1	15.972	14.831	14.831	3.7085	2.3150	0.51963
2	43	141	146	1	1	4406	4406,198	NaN	NaN	NaN	0	NaN	NaN	NaN	0.0000		
2	44	143	148	2	2	262,307	262,307,283	NaN	NaN	NaN	0	NaN	NaN	NaN	0.0000	1.0049	0.52902
2	45	146	151	3	3	514,5216,437	514,5216,437,6072	NaN	NaN	NaN	0	NaN	NaN	NaN	0.0000	1.1414,1.3947	0.56203,0.42540
2	46	150	155	4	0	264,1324,25,77405	279,1324,25,77405,198	19.438	18.970	18.970	1	19.433	19.325	19.325	1.6609	1.3049,1.2871,1.2914	0.53218,0.47215,0.36894
2	47	151	156	1	1	1324	1324,25	NaN	NaN	NaN	0	NaN	NaN	NaN	0.0000		
2	48	153	158	2	2	77405,198	77405,198,262	NaN	NaN	NaN	0	NaN	NaN	NaN	0.0000	1.7118	0.40251
2	49	156	161	3	1	1133,925,564	1133,437,9726,1393	19.493	19.326	19.326	1	20.965	20.941	20.941	1.1255	0.8503,1.6845	0.65646,0.50102
2	50	158	163	2	0	72758,1393	37,38044,8	17.498	16.857	16.615	2	18.374	17.518	17.086	2.0800	1.5578	0.65496
2	51	159	164	1	1	564	564,38044	NaN	NaN	NaN	0	NaN	NaN	NaN	0.0000		
2	52	161	166	2	1	3878,369	3878,11800,25	16.647	15.496	15.476	2	17.598	17.266	16.056	2.8136	1.0535	0.64149
2	53	163	168	2	0	307,8	809,8,198	18.814	15.093	5.333	650	22.129	20.306	16.212	0.5549	2.0059	0.38733
2	54	164	169	1	1	420	420,11957	NaN	NaN	NaN	0	NaN	NaN	NaN	0.0000		
2	55	166	171	2	2	198,262	198,262,364	NaN	NaN	NaN	0	NaN	NaN	NaN	0.0000	1.2806	0.39318
2	56	169	174	3	3	585,303,2020	585,303,2020,1393	NaN	NaN	NaN	0	NaN	NaN	NaN	0.0000	2.1858,1.4782	0.45793,0.25217
2	57	173	178	4	0	1590,198,285,1133	478,198,285,1133,925	20.763	19.516	19.516	1	23.124	22.639	22.226	1.0546	1.0939,1.6246,1.4876	0.49510,0.22260,0.22650
2	58	174	179	1	1	220	220,16	NaN	NaN	NaN	0	NaN	NaN	NaN	0.0000		
2	59	176	181	2	2	1590,198	1590,198,285	NaN	NaN	NaN	0	NaN	NaN	NaN	0.0000	1.2605	0.31132
2	60	179	184	3	3	1133,925,564	1133,925,564,1889	NaN	NaN	NaN	0	NaN	NaN	NaN	0.0000	0.8994,1.5464	0.57597,0.51528
2	61	183	188	4	4	681,809,420,11957	681,809,420,11957,198	NaN	NaN	NaN	0	NaN	NaN	NaN	0.0000	1.5587,1.7938,1.8426	0.37513,0.28600,0.24234
2	62	188	193	5	5	262,1133,4762,77,37	262,1133,4762,77,37,564	NaN	NaN	NaN	0	NaN	NaN	NaN	0.0000	0.9264,1.1443,1.3718,1.8807	0.45138,0.43746,0.36032,0.28990
2	63	194	199	2	2	38044,1324	38044,1324,506	NaN	NaN	NaN	0	NaN	NaN	NaN	0.0000	1.1296,1.1928	0.55137,0.44129
2	64	197	202	3	0	1857,11800,15336	2234,487,15336,78	17.390	16.785	16.244	2	20.441	19.601	17.559	1.5549	1.8729,1.1411	0.51044,0.42397
2	65	198	203	0	0		487	NaN	NaN	NaN	0	NaN	NaN	NaN	0.0000		
2	66	199	204	1	1	307	307,11	NaN	NaN	NaN	0	NaN	NaN	NaN	0.0000		
2	67	201	206	2	2	328,284	328,284,11800	NaN	NaN	NaN	0	NaN	NaN	NaN	0.0000	0.8878	0.53132
2	68	204	209	3	3	15336,78,1393	15336,78,1393,578	NaN	NaN	NaN	0	NaN	NaN	NaN	0.0000	1.5293,1.5458	0.45908,0.34390
2	69	208	213	4	3	198,262,1133,4762	198,262,1133,437,77	23.595	19.861	19.861	1	22.375	21.493	21.493	0.6676	1.1068,1.1466,1.5017	0.32710,0.32602,0.34262
2	70	212	217	4	3	37,564,38044,3878	37,564,38044,1324,11800	19.610	19.162	19.162	1	21.991	17.736	17.736	0.1819	1.0882,1.2401,1.2539	0.64254,0.44235,0.32953
2	71	216	221	4	4	506,2234,487,307	506,2234,487,307,11	NaN	NaN	NaN	0	NaN	NaN	NaN	0.0000	1.1349,1.3947,1.2181	0.51670,0.41543,0.33229
2	72	221	226	5	5	328,284,11800,15336,78	328,284,11800,15336,78,17	NaN	NaN	NaN	0	NaN	NaN	NaN	0.0000	0.9507,1.1756,1.4515,1.8385	0.46081,0.50379,0.34743,0.33699
2	73	227	232	5	5	1393,578,271,331,1259	1393,578,271,331,1259,591	NaN	NaN	NaN	0	NaN	NaN	NaN	0.0000	1.1868,1.2337,1.5893,2.4074	0.36645,0.25733,0.24422,0.33424
2	74	233	238	5	5	548,606,12880,3689,548	548,606,12880,3689,548,763	NaN	NaN	NaN	0	NaN	NaN	NaN	0.0000	1.0623,0.9675,1.0824,1.7797	0.33444,0.38244,0.36054,0.34294
2	75	239	244	5	4	198,262,1822,363,198	198,262,1822,363,248044,248044	23.591	17.677	11.975	4	18.660	17.930	16.420	1.2047	1.1923,1.5375,1.4335,1.5783	0.30960,0.36840,0.36346,0.22283
2	76	244	249	3	0	248045,846,198	2,846,248046,248046	15.138	14.563	9.529	13	17.578	16.829	7.834	2.7647	2.4354,8.1490,5.9635	0.04249,0.12126,0.14415
2	77	245	250	1	0	11675	12654,10505	14.478	11.389	9.335	6	13.740	12.198	11.908	5.8643		
2	78	246	251	1	0	220	1957,18	16.377	15.118	15.118	1	17.532	15.305	13.152	1.2900		
2	79	247	252	1	1	310	310,1133	NaN	NaN	NaN	0	NaN	NaN	NaN	0.0000		
2	80	249	254	1	1	76938	76938,3878	NaN	NaN	NaN	0	NaN	NaN	NaN	0.0000	2.2847	0.50760
2	81	251	256	2	0	198,2	1608,2,321	15.612	15.590	14.519	2	18.389	18.213	17.722	2.2328	1.7656	0.48817
2	82	252	257	1	1	48575	48575,11	NaN	NaN	NaN	0	NaN	NaN	NaN	0.0000		
2	83	254	259	2	0	83876,321	18971,11,8476	19.241	16.607	16.200	2	17.992	16.891	16.039	2.6765	1.1747	0.53614
2	84	255	260	1	1	11	11,321	NaN	NaN	NaN	0	NaN	NaN	NaN	0.0000		
# prompt 2	first_divergence=157	accept=0.701	mean_len=3.01	rounds=85	zero_draft=1	guard_stops=4	cross_ms=1.79
